date,open,high,low,close,adjustedClose,volume
2000-01-05,0.3192,0.3192,0.314,0.316,0.1841,13000
2000-01-06,0.306,0.306,0.3,0.3,0.1748,3000
2000-01-07,0.3,0.3,0.3,0.3,0.1748,2000
2000-01-10,0.3,0.3,0.3,0.3,0.1748,20000
2000-01-11,0.3,0.3,0.3,0.3,0.1748,50000
2000-01-12,0.292,0.2924,0.292,0.292,0.1701,15000
2000-01-13,0.294,0.294,0.294,0.294,0.1713,8000
2000-01-14,0.296,0.3,0.296,0.3,0.1748,85000
2000-01-17,0.304,0.32,0.304,0.32,0.1865,337000
2000-01-26,0.3096,0.318,0.3096,0.318,0.1853,24000
2000-01-27,0.3172,0.3172,0.304,0.304,0.1771,71000
2000-01-31,0.4,0.4,0.4,0.4,0.2331,1000
2000-02-02,0.292,0.292,0.292,0.292,0.1701,3000
2000-02-04,0.284,0.284,0.284,0.284,0.1655,3000
2000-02-07,0.284,0.284,0.284,0.284,0.1655,60000
2000-02-08,0.284,0.284,0.284,0.284,0.1655,25000
2000-02-09,0.3156,0.318,0.3156,0.316,0.1841,159000
2000-02-11,0.304,0.304,0.304,0.304,0.1771,81000
2000-02-18,0.292,0.312,0.292,0.312,0.1818,9000
2000-02-22,0.2944,0.2944,0.2944,0.2944,0.1715,1000
2000-02-23,0.3004,0.3004,0.3,0.3,0.1748,6000
2000-02-24,0.302,0.302,0.296,0.296,0.1725,66000
2000-02-25,0.292,0.292,0.288,0.288,0.1678,40000
2000-02-29,0.288,0.288,0.284,0.284,0.1655,153000
2000-03-03,0.3112,0.3112,0.3112,0.3112,0.1813,10000
2000-03-09,0.316,0.32,0.316,0.32,0.1865,26000
2000-03-13,0.3,0.3,0.3,0.3,0.1748,2000
2000-03-14,0.3,0.3,0.3,0.3,0.1748,3000
2000-03-16,0.3,0.304,0.3,0.304,0.1771,1310000
2000-03-17,0.304,0.304,0.304,0.304,0.1771,20000
2000-03-21,0.304,0.304,0.304,0.304,0.1771,200000
2000-03-22,0.316,0.316,0.316,0.316,0.1841,100000
2000-03-23,0.316,0.328,0.316,0.328,0.1911,112000
2000-03-24,0.336,0.338,0.336,0.3376,0.1967,886000
2000-03-27,0.344,0.344,0.344,0.344,0.2004,3000
2000-03-28,0.344,0.344,0.344,0.344,0.2004,21000
2000-03-30,0.372,0.372,0.36,0.36,0.2098,266000
2000-03-31,0.36,0.368,0.36,0.368,0.2144,149000
2000-04-03,0.3696,0.37,0.366,0.366,0.2133,18000
2000-04-04,0.366,0.366,0.364,0.364,0.2121,20000
2000-04-05,0.364,0.376,0.364,0.376,0.2191,118000
2000-04-06,0.376,0.38,0.376,0.38,0.2214,59000
2000-04-07,0.38,0.388,0.372,0.388,0.2261,687000
2000-04-10,0.394,0.3992,0.394,0.3992,0.2326,25000
2000-04-11,0.3992,0.4,0.396,0.396,0.2307,205000
2000-04-12,0.396,0.396,0.396,0.396,0.2307,3000
2000-04-14,0.396,0.396,0.36,0.36,0.2098,25000
2000-04-17,0.36,0.36,0.36,0.36,0.2098,4000
2000-04-18,0.36,0.36,0.36,0.36,0.2098,53000
2000-04-19,0.36,0.36,0.36,0.36,0.2098,2000
2000-04-20,0.36,0.36,0.36,0.36,0.2098,3000
2000-04-26,0.36,0.36,0.36,0.36,0.2098,5000
2000-04-27,0.36,0.368,0.36,0.368,0.2144,54000
2000-04-28,0.38,0.38,0.38,0.38,0.2214,1000
2000-05-02,0.4848,0.5,0.4848,0.5,0.2914,33000
2000-05-03,0.38,0.38,0.38,0.38,0.2214,102000
2000-05-04,0.376,0.376,0.376,0.376,0.2191,200000
2000-05-05,0.376,0.376,0.376,0.376,0.2191,17000
2000-05-08,0.5,0.5,0.5,0.5,0.2913,1000
2000-05-09,0.376,0.376,0.376,0.376,0.2191,1000
2000-05-10,0.376,0.376,0.376,0.376,0.2191,1000
2000-05-15,0.384,0.384,0.384,0.384,0.2238,1000
2000-05-18,0.36,0.36,0.36,0.36,0.2098,102000
2000-05-22,0.356,0.356,0.356,0.356,0.2074,50000
2000-05-24,0.356,0.356,0.356,0.356,0.2074,1000
2000-05-26,0.356,0.356,0.356,0.356,0.2074,3000
2000-05-29,0.358,0.358,0.358,0.358,0.2086,1000
2000-05-31,0.368,0.368,0.368,0.368,0.2144,2000
2000-06-02,0.368,0.368,0.364,0.364,0.2121,161000
2000-06-05,0.4956,0.4956,0.4956,0.4956,0.2888,2000
2000-06-07,0.38,0.38,0.38,0.38,0.2214,10000
2000-06-08,0.396,0.396,0.396,0.396,0.2307,40000
2000-06-12,0.398,0.4,0.398,0.4,0.2331,50000
2000-06-13,0.5248,0.5248,0.52,0.52,0.303,3000
2000-06-14,0.52,0.52,0.52,0.52,0.303,1000
