date,open,high,low,close,adjustedClose,volume
2009-05-20,10.6983,11.1396,10.6983,11.0505,4.2002,43900
2009-05-21,10.8321,10.9123,10.7474,10.8722,4.1324,18600
2009-05-22,10.8098,11.1352,10.8098,11.1352,4.2323,43600
2009-05-25,11.1441,11.1441,10.9212,11.0282,4.1917,23600
2009-05-26,11.0772,11.416,11.0772,11.367,4.3204,37200
2009-05-27,11.367,11.5899,11.2912,11.367,4.3204,37100
2009-05-28,11.2333,11.5899,11.2333,11.5809,4.4018,10900
2009-05-29,11.3714,11.7236,11.2778,11.5275,4.3814,21400
2009-06-01,11.572,11.7637,11.572,11.6835,4.4428,26700
2009-06-02,11.572,11.8618,11.5453,11.5899,4.4072,42800
2009-06-03,11.6077,11.6077,11.1575,11.3714,4.3241,11800
2009-06-04,11.367,11.5899,11.3224,11.5854,4.4055,17100
2009-06-05,11.5943,11.679,11.367,11.5141,4.3784,11400
2009-06-08,11.4517,11.7191,11.4338,11.7191,4.4564,13800
2009-06-09,11.7236,11.728,11.4338,11.4338,4.3479,10000
2009-06-10,11.4784,11.4784,11.3046,11.4606,4.358,11300
2009-06-12,11.4784,11.7236,11.4116,11.7236,4.4581,13700
2009-06-15,11.5453,11.5453,11.0104,11.2778,4.2886,34000
2009-06-16,11.2778,11.309,11.0995,11.2734,4.2869,15800
2009-06-17,11.1441,11.1441,10.8811,11.1396,4.236,43200
2009-06-18,11.1441,11.2333,10.9703,11.0772,4.2123,6500
2009-06-19,11.0995,11.4561,11.0995,11.3402,4.3123,15700
2009-06-22,11.2778,11.2778,10.9881,11.0505,4.2021,58600
2009-06-23,11.0549,11.0549,10.7429,11.0549,4.2038,27100
2009-06-24,11.0549,11.0995,10.8365,11.0995,4.2207,14800
2009-06-25,11.0772,11.1441,11.0327,11.1307,4.2326,116300
2009-06-26,11.1887,11.3224,11.104,11.1887,4.2546,114700
2009-06-29,11.0282,11.367,11.0282,11.367,4.3225,28600
2009-06-30,11.3046,11.367,11.2778,11.2778,4.2886,16400
2009-07-01,11.3313,11.367,11.3001,11.3001,4.2991,12200
2009-07-02,11.1441,11.3581,11.1441,11.3447,4.316,10600
2009-07-03,11.1664,11.367,11.1664,11.2778,4.2906,7700
2009-07-06,11.104,11.2778,10.9658,11.2778,4.2906,9800
2009-07-07,11.1441,11.1441,10.9925,11.0505,4.2041,6800
2009-07-08,11.0683,11.1441,10.783,10.9212,4.1549,152900
2009-07-10,10.9212,11.2555,10.7875,10.7875,4.104,83000
2009-07-13,10.8098,11.1396,10.7429,10.8722,4.1363,21800
2009-07-14,10.8009,10.9168,10.6538,10.7964,4.1074,14200
2009-07-15,10.8766,11.0728,10.8766,11.0505,4.2041,96300
2009-07-16,11.0995,11.1887,11.0282,11.1887,4.2567,345200
2009-07-17,11.1441,11.2333,11.0995,11.2333,4.2736,22700
2009-07-20,11.2333,11.5899,11.2333,11.5676,4.4008,51300
2009-07-21,11.5631,11.679,11.4383,11.679,4.4432,35100
2009-07-22,11.3937,11.7236,11.3893,11.7147,4.4568,75800
2009-07-23,11.6567,12.1203,11.6077,11.9465,4.545,170600
2009-07-24,11.9465,12.1025,11.9465,12.0802,4.5958,38600
2009-07-27,12.0535,12.0802,11.9554,12.0312,4.5772,26900
2009-07-28,11.9019,11.9955,11.7682,11.9376,4.5416,32900
2009-07-29,11.9019,12.0223,11.679,12.0223,4.5738,45700
2009-07-30,11.991,12.1649,11.8573,12.1649,4.6281,56000
2009-07-31,11.9465,12.1426,11.9108,12.0579,4.5874,23600
2009-08-03,12.0445,12.2095,12.0356,12.2095,4.6471,41200
2009-08-04,12.4368,12.4368,12.0401,12.2139,4.6488,81300
2009-08-05,12.2095,12.526,12.1203,12.4769,4.7489,110900
2009-08-06,12.4814,12.5215,12.3031,12.5215,4.7659,56300
2009-08-07,12.4814,12.7488,12.4725,12.7488,4.8524,160100
2009-08-10,12.7043,12.8781,12.7043,12.8781,4.9016,42800
2009-08-11,12.8781,12.8781,12.4145,12.6597,4.8184,109800
2009-08-12,12.6552,12.6597,12.2585,12.6552,4.8167,31500
2009-08-13,12.4636,12.4636,12.2139,12.419,4.7268,67300
2009-08-14,12.2763,12.5037,11.9465,12.4368,4.7336,105000
2009-08-17,12.1248,12.1248,11.8127,11.8127,4.4961,72200
2009-08-18,11.9019,12.2139,11.9019,12.1694,4.6318,45700
2009-08-19,12.1694,12.3477,12.0356,12.3477,4.6997,147900
2009-08-20,12.3922,12.5661,12.3922,12.526,4.7675,64400
2009-08-21,12.5705,12.6151,12.4814,12.6151,4.8015,115000
2009-08-24,12.6151,12.7043,12.5483,12.6374,4.8442,94800
2009-08-25,12.6374,12.7934,12.6151,12.7934,4.904,82700
2009-08-26,12.7845,13.3729,12.7087,13.3729,5.1261,60500
2009-08-27,13.0118,13.15,12.7934,13.15,5.0407,104400
2009-08-28,13.1946,13.3061,12.838,13.0787,5.0134,104100
2009-08-31,11.7236,11.7771,11.6211,11.7682,4.511,53500
2009-09-01,11.6701,11.7637,11.3224,11.3224,4.3421,75600
