date,open,high,low,close,adjustedClose,volume
2015-06-26,1.0575,1.1,1.0525,1.1,1.0982,37100
2015-06-29,1.1125,1.1125,1.0275,1.0625,1.0608,75600
2015-06-30,1.085,1.15,1.0175,1.025,1.0234,196100
2015-07-01,1.0175,1.0475,0.9925,0.9925,0.9909,153600
2015-07-02,1.03,1.0875,1.025,1.0825,1.0808,226600
2015-07-03,1.055,1.11,1.04,1.04,1.0383,152200
2015-07-06,1.03,1.0625,1.0175,1.02,1.0184,217200
2015-07-07,1.0175,1.0575,0.9975,1.015,1.0134,110800
2015-07-08,1.0275,1.04,0.9975,1,0.9984,71100
2015-07-10,1.0025,1.045,1.0025,1.045,1.0433,107900
2015-07-13,1.0575,1.0625,1.025,1.05,1.0483,44700
2015-07-14,1.05,1.05,1.0275,1.035,1.0333,51600
2015-07-15,1.0425,1.0425,1.0225,1.0225,1.0209,41500
2015-07-16,1.0175,1.04,1.0175,1.0325,1.0308,28000
2015-07-17,1.02,1.055,1.02,1.055,1.0533,67000
2015-07-20,1.0575,1.0575,1,1,0.9984,116700
2015-07-21,1.0125,1.03,0.995,0.995,0.9934,65400
2015-07-22,0.9925,1.01,0.9925,1.0075,1.0059,54200
2015-07-23,1.0075,1.025,0.9875,0.9925,0.9909,79400
2015-07-24,0.985,1.01,0.9375,0.96,0.9585,101300
2015-07-27,0.9875,0.9875,0.9275,0.9275,0.926,81200
2015-07-28,0.9375,0.965,0.93,0.96,0.9585,62000
2015-07-29,0.945,0.9575,0.9375,0.95,0.9485,69200
2015-07-30,0.9575,0.9575,0.935,0.9425,0.941,38300
2015-07-31,0.9525,0.9625,0.8575,0.8575,0.8561,163100
2015-08-03,0.87,0.8825,0.835,0.85,0.8486,117300
2015-08-04,0.85,0.8575,0.8175,0.8175,0.8162,92900
2015-08-05,0.8325,0.8975,0.8125,0.875,0.8736,109000
2015-08-06,0.855,0.885,0.8325,0.85,0.8486,53400
2015-08-07,0.86,0.875,0.8375,0.8525,0.8511,63300
2015-08-10,0.8675,0.885,0.8375,0.8625,0.8611,39800
2015-08-11,0.865,0.92,0.8625,0.905,0.9035,84400
2015-08-12,0.8825,0.9225,0.8825,0.9,0.8986,123000
2015-08-13,0.9,0.9575,0.8925,0.9525,0.951,79200
2015-08-14,0.9475,0.9475,0.875,0.875,0.8736,101600
2015-08-17,0.8375,0.8625,0.815,0.815,0.8137,53700
2015-08-18,0.8175,0.8525,0.8025,0.8175,0.8162,65600
2015-08-19,0.825,0.8375,0.8175,0.8175,0.8162,41200
2015-08-20,0.82,0.8325,0.7925,0.825,0.8237,59000
2015-08-21,0.825,0.84,0.8075,0.84,0.8387,84100
2015-08-24,0.8,0.8,0.6925,0.7,0.6989,229100
2015-08-25,0.7375,0.7375,0.675,0.675,0.6739,103700
2015-08-26,0.6875,0.6975,0.6525,0.665,0.6639,80200
2015-08-27,0.675,0.71,0.67,0.7,0.6989,127000
2015-08-28,0.7025,0.7675,0.6925,0.7325,0.7313,94300
2015-08-31,0.7275,0.7275,0.68,0.695,0.6939,130200
2015-09-01,0.675,0.6875,0.665,0.665,0.6639,136400
2015-09-02,0.6725,0.7025,0.655,0.655,0.6539,100600
2015-09-03,0.655,0.6875,0.6275,0.6325,0.6315,177000
2015-09-04,0.6275,0.6275,0.59,0.6075,0.6065,171500
2015-09-08,0.6075,0.61,0.545,0.5625,0.5616,168800
2015-09-09,0.5525,0.5525,0.4875,0.495,0.4942,301300
2015-09-10,0.475,0.4975,0.4325,0.4825,0.4817,258000
2015-09-11,0.4875,0.5075,0.4425,0.445,0.4443,296500
2015-09-14,0.45,0.4825,0.435,0.4675,0.4668,137500
2015-09-15,0.465,0.525,0.465,0.52,0.5192,132300
2015-09-16,0.525,0.5925,0.525,0.5875,0.5866,359000
2015-09-17,0.5925,0.645,0.5425,0.565,0.5641,225600
2015-09-18,0.56,0.575,0.5325,0.5475,0.5466,103500
2015-09-21,0.56,0.57,0.5325,0.5325,0.5316,134000
2015-09-22,0.5275,0.5275,0.49,0.495,0.4942,157900
2015-09-23,0.5025,0.515,0.47,0.4825,0.4817,176900
2015-09-24,0.48,0.48,0.4525,0.46,0.4593,140600
2015-09-25,0.4625,0.495,0.4625,0.465,0.4643,119100
2015-09-28,0.465,0.465,0.44,0.4575,0.4568,179500
2015-09-29,0.455,0.48,0.4475,0.45,0.4493,163700
2015-09-30,0.4575,0.485,0.4375,0.4375,0.4368,250700
2015-10-01,0.4425,0.455,0.425,0.45,0.4493,162000
2015-10-02,0.45,0.485,0.4375,0.475,0.4742,141600
2015-10-05,0.485,0.5,0.4725,0.485,0.4842,94400
2015-10-06,0.4875,0.55,0.48,0.5425,0.5416,244600
2015-10-07,0.55,0.6,0.525,0.55,0.5491,200900
2015-10-08,0.5725,0.5725,0.52,0.5375,0.5366,92000
2015-10-09,0.55,0.555,0.4925,0.5275,0.5267,251500
2015-10-13,0.52,0.525,0.495,0.4975,0.4967,164500
2015-10-14,0.5,0.515,0.4975,0.51,0.5092,57500
2015-10-15,0.5125,0.55,0.5,0.54,0.5391,100400
2015-10-16,0.5375,0.55,0.5125,0.5325,0.5316,50500
2015-10-19,0.5325,0.5325,0.51,0.51,0.5092,65100
2015-10-20,0.51,0.52,0.5,0.5,0.4992,38000
2015-10-21,0.5075,0.5175,0.495,0.5175,0.5167,90600
2015-10-22,0.52,0.5275,0.5075,0.525,0.5242,39000
2015-10-23,0.535,0.5375,0.51,0.5125,0.5117,71800
2015-10-26,0.525,0.525,0.4925,0.5025,0.5017,106300
2015-10-27,0.505,0.515,0.495,0.5025,0.5017,86300
2015-10-28,0.495,0.53,0.495,0.5075,0.5067,119600
2015-10-29,0.5175,0.5175,0.4925,0.5075,0.5067,71600
2015-10-30,0.5,0.5275,0.4975,0.5275,0.5267,51800
2015-11-03,0.525,0.5625,0.515,0.5625,0.5616,274800
2015-11-04,0.5675,0.5775,0.5175,0.5175,0.5167,140800
2015-11-05,0.5175,0.5375,0.505,0.5125,0.5117,100300
2015-11-06,0.5125,0.5225,0.49,0.5025,0.5017,117800
2015-11-09,0.5025,0.52,0.5,0.5075,0.5067,28600
2015-11-10,0.505,0.51,0.49,0.4975,0.4967,79100
2015-11-11,0.5025,0.5175,0.5025,0.5175,0.5167,163200
2015-11-12,0.5175,0.5175,0.5,0.5,0.4992,30600
2015-11-13,0.51,0.5225,0.4975,0.505,0.5042,80600
2015-11-16,0.5125,0.5175,0.5025,0.505,0.5042,35500
2015-11-17,0.505,0.515,0.5,0.5,0.4992,33100
